Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2026-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,73000000,120000000,156000000,135000000,140000000,146000000,135000000,159000000,188000000,218000000,226000000,218000000,251000000,250000000,243000000,243000000,269000000,275000000,320000000,329000000,342000000,319000000,349000000,381000000,389000000,306000000
Afghanistan,AFG,,,,,,,,,,,,,,36000000,68000000,103000000,246000000,105000000,132000000,137000000,147000000,79000000,118000000,203000000,129000000,30000000
Angola,AGO,75000000,73000000,98000000,75000000,127000000,136000000,66000000,19000000,12000000,39000000,74000000,148000000,212000000,254000000,133000000,148000000,180000000,159000000,166000000,113000000,146000000,594000000,977000000,555000000,469000000,615000000
Albania,ALB,7000000,12000000,5000000,5000000,12000000,272000000,257000000,365000000,489000000,642000000,786000000,965000000,1268000000,1555000000,1585000000,1360000000,1565000000,1284000000,1479000000,1590000000,1238000000,1262000000,1433000000,1679000000,1770000000,763000000
Argentina,ARG,3278000000,3584000000,3962000000,4230000000,4195000000,4425000000,3893000000,2328000000,2511000000,2604000000,2790000000,3108000000,3935000000,4586000000,4536000000,4951000000,5667000000,6117000000,5932000000,5983000000,6982000000,9679000000,11378000000,10670000000,7850000000,2346000000
Armenia,ARM,3000000,22000000,41000000,41000000,37000000,40000000,40000000,54000000,67000000,162000000,207000000,265000000,379000000,435000000,443000000,579000000,687000000,803000000,930000000,1024000000,996000000,981000000,1163000000,1282000000,1489000000,307000000
Antigua and Barbuda,ATG,23000000,26000000,27000000,29000000,30000000,31000000,32000000,33000000,35000000,38000000,40000000,45000000,52000000,58000000,54000000,51000000,49000000,49000000,50000000,66000000,70000000,77000000,82000000,86000000,92000000,27000000
Australia,AUS,5165000000,5920000000,6261000000,5930000000,6181000000,6388000000,5735000000,5963000000,7337000000,10667000000,11749000000,12537000000,16454000000,19617000000,18738000000,22558000000,27371000000,28078000000,28575000000,30123000000,29190000000,30839000000,34470000000,36953000000,35968000000,6488000000
Austria,AUT,10887000000,11015000000,10062000000,9581000000,6727000000,6232000000,6579000000,6901000000,8623000000,9237000000,9316000000,9628000000,10559000000,11438000000,10826000000,10120000000,10556000000,9987000000,10253000000,11095000000,9329000000,9772000000,10768000000,11793000000,11589000000,4903000000
Azerbaijan,AZE,146000000,100000000,186000000,170000000,139000000,132000000,109000000,105000000,111000000,126000000,164000000,201000000,264000000,343000000,406000000,782000000,1689000000,2477000000,2877000000,3008000000,2603000000,2494000000,2658000000,2284000000,1702000000,412000000
Burundi,BDI,25000000,12000000,4000000,3000000,2000000,14000000,12000000,14000000,15000000,23000000,60000000,125000000,104000000,144000000,62000000,20000000,31000000,25000000,34000000,38000000,29000000,28000000,24000000,23000000,,
Belgium,BEL,8115000000,8591000000,7895000000,8311000000,9775000000,9429000000,9776000000,10185000000,12210000000,13956000000,14948000000,15574000000,17502000000,19523000000,19001000000,18862000000,20672000000,20166000000,22157000000,23820000000,13654000000,14439000000,15600000000,18442000000,18739000000,13035000000
Benin,BEN,35000000,29000000,16000000,20000000,26000000,12000000,17000000,20000000,21000000,29000000,27000000,34000000,72000000,64000000,53000000,57000000,53000000,43000000,39000000,54000000,62000000,64000000,50000000,31000000,94000000,
Burkina Faso,BFA,,,,,,20000000,22000000,22000000,31000000,39000000,46000000,55000000,58000000,63000000,64000000,69000000,72000000,77000000,144000000,132000000,103000000,115000000,116000000,119000000,114599998.474121,
Bangladesh,BGD,234000000,135000000,178000000,151000000,211000000,290000000,165000000,113000000,165000000,161000000,141000000,142000000,156000000,184000000,249000000,261000000,332000000,304000000,350000000,400000000,427000000,484000000,603000000,755000000,920000000,394000000
Bulgaria,BGR,195000000,199000000,222000000,519000000,526000000,538000000,589000000,717000000,1033000000,1363000000,1309000000,1478000000,1880000000,2311000000,1755000000,826000000,904000000,923000000,1113000000,1202000000,1116000000,1361000000,1695000000,1868000000,1825000000,1048000000
Bahrain,BHR,122000000,109000000,122000000,142000000,212000000,224000000,250000000,380000000,372000000,387000000,414000000,455000000,479000000,503000000,408000000,506000000,718000000,814000000,839000000,611000000,4342000000,2383000000,2300000000,1659000000,1720000000,
"Bahamas, The",BHS,213000000,235000000,250000000,256000000,276000000,261000000,256000000,244000000,305000000,316000000,344000000,385000000,377000000,305000000,240000000,228000000,246000000,286000000,262000000,212000000,238000000,329000000,371000000,332000000,335000000,110000000
Bosnia and Herzegovina,BIH,,,,81000000,83000000,73000000,74000000,85000000,106000000,117000000,122000000,170000000,203000000,281000000,231000000,194000000,160000000,139000000,133000000,127000000,206000000,225000000,249000000,273000000,285000000,112000000
Belarus,BLR,87000000,119000000,114000000,124000000,116000000,216000000,454000000,493000000,399000000,450000000,448000000,586000000,606000000,716000000,639000000,622000000,588000000,789000000,1153000000,1159000000,901000000,800000000,983000000,1069000000,1122500000,445000000
Belize,BLZ,21000000,26000000,18000000,21000000,36000000,40000000,42000000,44000000,46000000,43000000,42000000,41000000,43000000,41000000,41000000,36000000,34000000,37000000,40000000,49000000,47000000,53000000,51000000,48000000,43400001.5258789,20549999.2370605
Bermuda,BMU,,,,,,,,243000000,248000000,217000000,239000000,268000000,288000000,307000000,295000000,301000000,216000000,221000000,222000000,264000000,244000000,249000000,255000000,254000000,264000000,191000000
Bolivia,BOL,48000000,54000000,57000000,60000000,75000000,77000000,83000000,80000000,138000000,164000000,186000000,273000000,304000000,281000000,290000000,313000000,298000000,361000000,521000000,808000000,711000000,818000000,829000000,866000000,937000000,274000000
